"Rank","Player.Name","Tier","Position","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev"
110,"Jayden Reed","15","WR",76,149,109.91,13.74
111,"Kyler Murray","16","QB",92,134,113.23,9.41
112,"Blake Corum","16","RB",84,145,113.69,14.17
113,"Aaron Jones Sr.","16","RB",78,156,114.02,15.3
114,"Jake Ferguson","16","TE",73,170,114.03,17.38
115,"Dalton Kincaid","16","TE",95,155,115.59,15.55
116,"Baker Mayfield","17","QB",74,136,116.98,10.11
117,"Isaiah Likely","17","TE",85,236,117.88,27.42
118,"Jordan Love","17","QB",92,145,118.86,9.4
119,"Stefon Diggs","15","WR",60,225,105.01,36.91
120,"Jordan Mason","17","RB",80,146,119.91,14.9
121,"Dallas Goedert","17","TE",95,158,120.34,15.43
122,"Jacory Croskey-Merritt","17","RB",84,143,120.36,13.36
123,"Khalil Shakir","17","WR",83,173,121.71,17.3
124,"Tyler Shough","17","QB",101,195,122.94,14.39
125,"Jayden Higgins","17","WR",94,176,123.65,13.41
126,"Jalen Coker","18","WR",90,166,126.34,15.71
127,"Xavier Worthy","18","WR",88,180,126.71,14.04
128,"Mark Andrews","18","TE",95,196,128.58,21.48
129,"KC Concepcion","18","WR",88,241,129.38,24.69
130,"Romeo Doubs","18","WR",96,178,129.88,14.74
131,"Matthew Golden","18","WR",82,197,130.97,20.45
132,"Tyrone Tracy Jr.","18","RB",93,177,132.12,12
133,"Malik Willis","18","QB",101,300,132.51,26.92
134,"Tyler Allgeier","19","RB",117,177,140.74,11.57
135,"Chris Rodriguez Jr.","19","RB",120,237,140.88,15.88
136,"Sam Darnold","19","QB",119,203,141.21,13.99
137,"C.J. Stroud","19","QB",104,214,141.85,17.55
138,"Woody Marks","19","RB",120,175,142.06,11.39
139,"Tyjae Spears","19","RB",102,187,142.3,14.88
140,"Juwan Johnson","19","TE",95,226,143.5,21.86
141,"Zach Charbonnet","19","RB",102,245,144.44,19.8
142,"Alvin Kamara","19","RB",102,201,147.86,17.12
143,"Rashid Shaheed","20","WR",121,223,149.2,16.65
144,"Deebo Samuel Sr.","19","WR",83,241,140.27,35.02
145,"Dylan Sampson","20","RB",102,237,150.93,20.7
146,"Isiah Pacheco","20","RB",118,201,153.63,14.41
147,"Cam Ward","20","QB",113,246,153.74,23.43
148,"Chig Okonkwo","20","TE",111,229,154.72,26.92
149,"Daniel Jones","20","QB",113,295,156.51,33.84
150,"Keaton Mitchell","20","RB",122,275,154.2,27.38
151,"Brenton Strange","20","TE",111,236,157.52,25.29
152,"Denzel Boston","20","WR",107,304,155.89,29.64
153,"De'Zhaun Stribling","21","WR",87,290,163.56,41.03
154,"Hunter Henry","21","TE",112,229,164.84,22.29
155,"Jerry Jeudy","21","WR",115,269,162.42,24.86
156,"Jauan Jennings","21","WR",94,283,159.2,27.78
157,"Houston Texans","20","DST",144,177,153.2,5.77
158,"Bryce Young","22","QB",139,276,168.7,23.8
159,"Tank Bigsby","22","RB",132,234,168.99,24.5
160,"Brian Robinson Jr.","22","RB",118,234,170.87,20.98
161,"Adonai Mitchell","22","WR",133,270,171.06,24.93
162,"Jonah Coleman","21","RB",130,322,163.36,30.95
163,"Jalen McMillan","22","WR",128,227,170.4,21.15
164,"Omar Cooper Jr.","22","WR",133,301,170.08,30.35
165,"Dalton Schultz","23","TE",97,229,176.63,26.2
166,"Tre' Harris","23","WR",123,284,177.57,25.32
167,"Tre Tucker","22","WR",109,289,172.02,28.49
168,"Denver Broncos","21","DST",150,211,163.25,7.53
169,"Oronde Gadsden II","24","TE",97,259,184.19,39.58
170,"Seattle Seahawks","22","DST",151,195,167.46,5.62
171,"Braelon Allen","24","RB",135,269,182.67,30.39
172,"Los Angeles Rams","22","DST",149,190,168.11,7.49
173,"Travis Hunter","23","WR",116,292,177.98,30.49
174,"T.J. Hockenson","25","TE",124,246,190.95,22.06
175,"Philadelphia Eagles","23","DST",157,235,174.61,9.78
176,"Jalen Nailor","24","WR",121,305,186.23,36.95
177,"Ryan Flournoy","24","WR",142,319,182.45,25.44
178,"Jacoby Brissett","25","QB",134,340,193.66,39.19
179,"Ray Davis","25","RB",143,266,194,31.59
180,"Dontayvion Wicks","25","WR",133,268,195.76,32.41
181,"Kimani Vidal","25","RB",152,284,196.28,33.82
182,"Brandon Aubrey","24","K",166,193,186.32,3.51
183,"Pittsburgh Steelers","24","DST",161,240,187.25,8.43
184,"New England Patriots","24","DST",161,235,184.95,9.92
185,"Malik Washington","25","WR",126,313,193.95,34.84
186,"Jacksonville Jaguars","24","DST",151,279,188.75,15.57
187,"Minnesota Vikings","24","DST",167,254,186.33,11.28
188,"Pat Bryant","25","WR",136,298,199.39,34.26
189,"Los Angeles Chargers","25","DST",171,280,191.48,13.88
190,"Emmett Johnson","25","RB",148,322,201.39,40.91
191,"Sean Tucker","25","RB",141,299,199.87,34.95
192,"AJ Barner","26","TE",155,261,207.5,23.84
193,"Kayshon Boutte","25","WR",154,277,198.5,28.83
194,"Calvin Ridley","26","WR",126,299,203.75,33.9
195,"MarShawn Lloyd","26","RB",136,330,208.76,53.25
196,"James Conner","25","RB",117,318,195.88,39.92
197,"Cameron Dicker","25","K",170,333,196.01,16.35
198,"Ka'imi Fairbairn","25","K",173,216,192.61,4.75
199,"Cam Little","25","K",171,252,198.68,9.07
200,"Baltimore Ravens","25","DST",171,356,197.41,22.2
